Index;Time
1;0.001235481
2;0.001382864
3;0.001617226
4;0.001040657
5;0.001031272
6;0.000855012
7;0.001515257
8;0.001263529
9;0.001541537
10;0.001128977
11;0.000765479
12;0.000292086
13;0.000286138
14;0.000293679
15;0.000267001
16;0.000266783
17;0.000288855
18;0.000298792
19;0.000266593
20;0.000268406
21;0.000263395
22;0.000301040
23;0.000286394
24;0.000299404
25;0.000267883
26;0.000305424
27;0.000320205
28;0.000316757
29;0.000314089
30;0.000311214
31;0.000280422
32;0.000306714
33;0.000282536
34;0.000302942
35;0.000292983
36;0.000301357
37;0.000294160
38;0.000324982
39;0.000269138
40;0.000300845
41;0.000288752
42;0.000313845
43;0.000261803
44;0.000293199
45;0.000286989
46;0.000301823
47;0.000382645
48;0.000321540
49;0.000331738
50;0.000300582
51;0.000256508
52;0.000327382
53;0.000265444
54;0.000317464
55;0.000270006
56;0.000292131
57;0.000261078
58;0.000266849
59;0.000265953
60;0.000294900
61;0.000288847
62;0.000344461
63;0.000256274
64;0.000278816
65;0.000268128
66;0.000317127
67;0.000313575
68;0.000342782
69;0.000275636
70;0.000292136
71;0.000288374
72;0.000273052
73;0.000301009
74;0.000296884
75;0.000258332
76;0.000286342
77;0.000289873
78;0.000295435
79;0.000296726
80;0.000314892
81;0.000270715
82;0.000310443
83;0.000292725
84;0.000291359
85;0.000256192
86;0.000308785
87;0.000326639
88;0.000392878
89;0.000288492
90;0.000339992
91;0.000283835
92;0.000306168
93;0.000284751
94;0.000283491
95;0.000255146
96;0.000290031
97;0.000257521
98;0.000314228
99;0.000255155
100;0.000322228
