Packet ID;Time Difference (seconds)
0;0.001784563
1;0.001802738
2;0.002040441
3;0.002518925
4;0.002830065
5;0.003215529
6;0.002132046
7;0.002483811
8;0.002735526
9;0.001843448
10;0.002398650
11;0.002408491
12;0.001449695
13;0.000902249
14;0.000858810
15;0.000873392
16;0.000834328
17;0.000884585
18;0.000907656
19;0.000896925
20;0.000864684
21;0.000877390
22;0.000891867
23;0.000903948
24;0.000861915
25;0.000888059
26;0.000888682
27;0.000900763
28;0.000883833
29;0.000869092
30;0.000871330
31;0.000887056
32;0.000902836
33;0.000865855
34;0.000879238
35;0.000843872
36;0.000880952
37;0.000853295
38;0.000863970
39;0.000876728
40;0.000872559
41;0.000842297
42;0.000852034
43;0.000909011
44;0.000873749
45;0.000933330
46;0.000867443
47;0.000869160
48;0.000829418
49;0.000941133
50;0.000860351
51;0.000855870
52;0.000868680
53;0.000887896
54;0.000896175
55;0.000882945
56;0.000860703
57;0.000859295
58;0.000834918
59;0.000902103
60;0.000897517
61;0.000915015
62;0.000855170
63;0.000972824
64;0.000849072
65;0.000932507
66;0.000914692
67;0.000905472
68;0.000889168
69;0.000867395
70;0.000907393
71;0.000896610
72;0.000832389
73;0.000845408
74;0.000816917
75;0.000844102
76;0.000807226
77;0.000831077
78;0.000821700
79;0.000826385
80;0.000807686
81;0.000805183
82;0.000794140
83;0.000824398
84;0.000831427
85;0.000843925
86;0.000806163
87;0.000817359
88;0.000837773
89;0.000859802
90;0.000821675
91;0.000810632
92;0.000829796
93;0.000843596
94;0.000806927
95;0.000831144
96;0.000830152
97;0.000845775
98;0.000843794
99;0.000802490
100;0.000849310
101;0.000835923
102;0.000826181
103;0.000807482
104;0.000815864
105;0.000840810
106;0.000833100
107;0.000811587
108;0.000841065
109;0.000830073
110;0.000821530
111;0.000825537
112;0.000812098
113;0.000833606
114;0.000826365
115;0.000839435
116;0.000805787
117;0.000830264
118;0.000868647
119;0.000824687
120;0.000841091
121;0.000815412
122;0.000834993
123;0.000822335
124;0.000829000
125;0.000837278
126;0.000814255
127;0.000841598
128;0.000802273
129;0.000834093
130;0.000840550
131;0.000855651
132;0.000804504
133;0.000823251
134;0.000833562
135;0.000808351
136;0.000828350
137;0.000848608
138;0.000822251
139;0.000810583
140;0.000837195
141;0.000833495
142;0.000819795
143;0.000817710
144;0.000837342
145;0.000845570
146;0.000819110
147;0.000819577
148;0.000823064
149;0.000825874
150;0.000817851
151;0.000854411
152;0.000833472
153;0.000833365
154;0.000830656
155;0.000815289
156;0.000831433
157;0.000876847
158;0.000824293
159;0.000836895
160;0.000838924
161;0.000843922
162;0.000820170
163;0.000813917
